accession	variant
BS001270.1	B.1.1.7
BS001271.1	B.1.1.7
BS001272.1	B.1.1.7
BS001273.1	B.1.1.7
BS001274.1	B.1.1.7
BS001275.1	B.1.1.7
BS001276.1	B.1.1.7
BS001277.1	B.1.1.7
BS001278.1	B.1.1.7
BS001279.1	B.1.1.7
BS001280.1	B.1.1.7
BS001281.1	B.1.1.7
BS001282.1	B.1.1.7
BS001283.1	B.1.1.7
BS001284.1	B.1.1.7
BS001285.1	B.1.1.7
BS001286.1	B.1.1.7
BS001287.1	B.1.1.7
BS001288.1	B.1.1.7
BS001289.1	B.1.1.7
BS001290.1	B.1.1.7
BS001291.1	B.1.1.7
BS001292.1	B.1.1.7
BS001293.1	B.1.1.7
BS001294.1	B.1.1.7
BS001295.1	B.1.1.7
BS001296.1	B.1.1.7
BS001297.1	B.1.1.7
BS001298.1	B.1.1.7
BS001299.1	B.1.1.7
BS001300.1	B.1.1.7
BS001301.1	B.1.1.7
BS001302.1	B.1.1.7
BS001303.1	B.1.1.7
BS001304.1	B.1.1.7
BS001305.1	B.1.1.7
BS001306.1	B.1.1.7
BS001307.1	B.1.1.7
BS001308.1	B.1.1.7
BS001309.1	B.1.1.7
BS001310.1	B.1.1.7
BS001311.1	B.1.1.7
BS001312.1	B.1.1.7
BS001313.1	B.1.1.7
BS001314.1	B.1.1.7
BS001315.1	B.1.1.7
BS001316.1	B.1.1.7
BS001317.1	B.1.1.7
BS001318.1	B.1.1.7
BS001319.1	B.1.1.7
BS001320.1	B.1.1.7
BS001321.1	B.1.1.7
BS001322.1	B.1.1.7
BS001326.1	B.1.1.7
BS001330.1	B.1.1.7
BS001331.1	B.1.1.7
BS001332.1	B.1.1.7
BS001333.1	B.1.1.7
BS001334.1	B.1.1.7
BS001335.1	B.1.1.7
BS001336.1	B.1.1.7
BS001337.1	B.1.1.7
BS001338.1	B.1.1.7
BS001339.1	B.1.1.7
BS001340.1	B.1.1.7
BS001341.1	B.1.1.7
BS001342.1	B.1.1.7
BS001343.1	B.1.1.7
BS001344.1	B.1.1.7
BS001345.1	B.1.1.7
BS001346.1	B.1.1.7
BS001347.1	B.1.1.7
BS001348.1	B.1.1.7
BS001349.1	B.1.1.7
BS001351.1	B.1.1.7
BS001352.1	B.1.1.7
BS001353.1	B.1.1.7
BS001354.1	B.1.1.7
BS001355.1	B.1.1.7
BS001356.1	B.1.1.7
BS001357.1	B.1.1.7
BS001358.1	B.1.1.7
BS001359.1	B.1.1.7
BS001360.1	B.1.1.7
BS001361.1	B.1.1.7
BS001362.1	B.1.1.7
BS001369.1	B.1.1.7
BS001370.1	B.1.1.7
BS001371.1	B.1.1.7
BS001372.1	B.1.1.7
BS001373.1	B.1.1.7
BS001374.1	B.1.1.7
BS001375.1	B.1.1.7
BS001376.1	B.1.1.7
BS001377.1	B.1.1.7
BS001378.1	B.1.1.7
BS001379.1	B.1.1.7
BS001380.1	B.1.1.7
BS001381.1	B.1.1.7
BS001382.1	B.1.1.7
BS001383.1	B.1.1.7
BS001384.1	B.1.1.7
BS001388.1	B.1.1.7
BS001398.1	B.1.1.7
BS001399.1	B.1.1.7
BS001400.1	B.1.1.7
BS001401.1	B.1.1.7
BS001402.1	B.1.1.7
BS001403.1	B.1.1.7
BS001404.1	B.1.1.7
BS001406.1	B.1.1.7
BS001409.1	B.1.1.7
BS001413.1	B.1.1.7
BS001414.1	B.1.1.7
BS001421.1	B.1.1.7
BS001422.1	B.1.1.7
BS001424.1	B.1.1.7
BS001425.1	B.1.1.7
BS001427.1	B.1.1.7
BS001428.1	B.1.1.7
BS001429.1	B.1.1.7
BS001430.1	B.1.1.7
BS001432.1	B.1.1.7
BS001433.1	B.1.1.7
BS001436.1	B.1.1.7
BS001437.1	B.1.1.7
BS001441.1	B.1.1.7
BS001450.1	B.1.1.7
BS001454.1	B.1.1.7
BS001457.1	B.1.1.7
BS001458.1	B.1.1.7
BS001460.1	B.1.1.7
BS001461.1	B.1.1.7
BS001467.1	B.1.1.7
BS001468.1	B.1.1.7
BS001469.1	B.1.1.7
BS001470.1	B.1.1.7
BS001480.1	B.1.1.7
BS001482.1	B.1.1.7
BS001485.1	B.1.1.7
BS001490.1	B.1.1.7
BS001491.1	B.1.1.7
BS001492.1	B.1.1.7
BS001493.1	B.1.1.7
BS001494.1	B.1.1.7
BS001495.1	B.1.1.7
BS001496.1	B.1.1.7
BS001497.1	B.1.1.7
BS001498.1	B.1.1.7
BS001499.1	B.1.1.7
BS001500.1	B.1.1.7
BS001501.1	B.1.1.7
BS001502.1	B.1.1.7
BS001503.1	B.1.1.7
BS001504.1	B.1.1.7
BS001505.1	B.1.1.7
BS001506.1	B.1.1.7
BS001507.1	B.1.1.7
BS001508.1	B.1.1.7
BS001509.1	B.1.1.7
BS001510.1	B.1.1.7
BS001511.1	B.1.1.7
BS001512.1	B.1.1.7
BS001513.1	B.1.1.7
BS001514.1	B.1.1.7
BS001515.1	B.1.1.7
BS001516.1	B.1.1.7
BS001517.1	B.1.1.7
BS001519.1	B.1.1.7
BS001521.1	B.1.1.7
BS001522.1	B.1.1.7
BS001530.1	B.1.1.7
BS001538.1	B.1.1.7
BS001549.1	B.1.1.7
BS001553.1	B.1.1.7
BS001560.1	B.1.1.7
BS001567.1	B.1.1.7
BS001568.1	B.1.1.7
BS001569.1	B.1.1.7
BS001577.1	B.1.1.7
BS001580.1	B.1.1.7
BS001595.1	B.1.1.7
BS001599.1	B.1.1.7
BS001616.1	B.1.1.7
BS001619.1	B.1.1.7
BS001626.1	B.1.1.7
BS001627.1	B.1.1.7
BS001628.1	B.1.1.7
BS001631.1	B.1.1.7
BS001647.1	B.1.1.7
BS001648.1	B.1.1.7
BS001686.1	B.1.1.7
BS001712.1	B.1.1.7
BS001747.1	B.1.1.7
BS001750.1	B.1.1.7
BS001776.1	B.1.1.7
BS001814.1	B.1.1.7
BS001815.1	B.1.1.7
BS001851.1	B.1.1.7
BS001852.1	B.1.1.7
BS001855.1	B.1.1.7
BS001861.1	B.1.1.7
BS001863.1	B.1.1.7
BS001867.1	B.1.1.7
BS001875.1	B.1.1.7
BS001880.1	B.1.1.7
BS001892.1	B.1.1.7
BS001893.1	B.1.1.7
BS001897.1	B.1.1.7
BS001903.1	B.1.1.7
BS001919.1	B.1.1.7
BS001922.1	B.1.1.7
BS001928.1	B.1.1.7
BS001931.1	B.1.1.7
BS001934.1	B.1.1.7
BS001936.1	B.1.1.7
BS001939.1	B.1.1.7
BS001941.1	B.1.1.7
BS001942.1	B.1.1.7
BS001956.1	B.1.1.7
BS001984.1	B.1.1.7
BS001985.1	B.1.1.7
BS002104.1	B.1.1.7
BS002109.1	B.1.1.7
BS002128.1	B.1.1.7
BS002133.1	B.1.1.7
BS002244.1	B.1.1.7
BS002318.1	BA.2
BS002666.1	BA.1
BS003768.1	BA.2
BS004198.1	BA.2
BS004272.1	BA.2
BS004273.1	BA.2
BS004276.1	BA.2
BS004277.1	BA.2
BS004285.1	BA.2
BS004288.1	BA.2
BS004363.1	BA.2
BS004374.1	BA.2
BS004428.1	BA.2
BS004435.1	BA.2
BS004439.1	BA.2
BS004444.1	BA.2
BS004451.1	BA.2
BS004452.1	BA.2
BS004454.1	BA.2
BS004457.1	BA.2
BS004462.1	BA.2
BS004470.1	BA.2
BS004496.1	BA.2
BS004498.1	BA.2
BS004506.1	BA.2
BS004510.1	BA.2
BS004522.1	BA.2
BS004523.1	BA.2
BS004531.1	BA.2
BS004564.1	BA.2
BS004582.1	BA.2
BS004598.1	BA.2
BS004633.1	BA.2
BS004634.1	BA.2
BS004635.1	BA.2
BS004645.1	BA.2
BS004646.1	BA.2
BS004648.1	BA.2
BS004655.1	BA.2
BS004656.1	BA.2
BS004660.1	BA.2
BS004671.1	BA.2
BS004673.1	BA.2
BS004680.1	BA.2
BS004691.1	BA.2
BS004712.1	BA.2
BS004721.1	BA.2
BS004733.1	BA.2
BS004738.1	BA.2
BS004741.1	BA.2
BS004745.1	BA.2
BS004755.1	BA.2
BS004764.1	BA.2
BS004765.1	BA.2
BS004775.1	BA.2
BS004776.1	BA.2
BS004779.1	BA.2
BS004780.1	BA.2
BS004783.1	BA.2
BS004784.1	BA.2
BS004786.1	BA.2
BS004790.1	BA.2
BS004802.1	BA.2
BS004803.1	BA.2
BS004812.1	BA.2
BS004821.1	BA.2
BS004822.1	BA.2
BS004842.1	BA.2
BS004849.1	BA.4
BS004855.1	BA.4
BS004856.1	BA.2
BS004860.1	BA.4
BS004866.1	BA.2
BS004867.1	BA.2
BS004882.1	BA.2
BS004883.1	BA.2
BS004888.1	BA.2
BS004892.1	BA.2
BS004907.1	BA.2
BS004913.1	BA.4
BS004924.1	BA.4
BS004987.1	BA.2
BS004988.1	BA.2
BS004989.1	BA.2
BS004991.1	BA.4
BS004995.1	BA.2
BS004996.1	BA.2
BS004997.1	BA.4
BS005002.1	BA.4
BS005006.1	BA.2
BS005020.1	BA.2
BS005025.1	BA.2
BS005033.1	BA.2
BS005076.1	BA.5
BS005079.1	BA.2
BS005097.1	BA.2
BS005098.1	BA.2
BS005121.1	BA.2
BS005126.1	BA.5
BS005138.1	BA.5
BS005161.1	BA.2
BS005184.1	BA.5
BS005185.1	BA.5
BS005197.1	BA.2
BS005208.1	BA.4
BS005392.1	BA.2
BS005394.1	BA.5
BS005416.1	BA.5
BS005447.1	BA.2
BS005710.1	BA.4
BS005742.1	BA.5
BS005750.1	BA.4
BS006171.1	BA.5
BS006198.1	CH.1.1
BS006817.1	BQ.1
BS006867.1	BQ.1
BS006988.1	BQ.1
BS007050.1	CH.1.1
BS007074.1	BQ.1
BS007081.1	BQ.1
BS007166.1	BQ.1
BS007327.1	XBB.1.5
BS007331.1	XBB.1.5
BS007336.1	XBB.1.5
BS007352.1	XBB.1.5
BS007398.1	XBB.1.5
BS007500.1	XBB.1.5
BS007567.1	XBB.1.5
BS007751.1	JN.1
BS007760.1	JN.1
BS007764.1	JN.1
BS007797.1	JN.1
BS007798.1	JN.1
BS007805.1	JN.1
BS007806.1	JN.1
BS007813.1	JN.1
BS007815.1	JN.1
BS007834.1	JN.1
BS007836.1	JN.1
BS007845.1	B.1.1.7
BS007847.1	B.1.1.7
BS007849.1	B.1.1.7
BS007850.1	B.1.1.7
BS007851.1	B.1.1.7
BS007852.1	B.1.1.7
BS007854.1	B.1.1.7
BS007855.1	B.1.1.7
BS007856.1	B.1.1.7
BS007857.1	B.1.1.7
BS007859.1	B.1.1.7
BS007860.1	B.1.1.7
BS007861.1	B.1.1.7
BS007862.1	B.1.1.7
BS007863.1	B.1.1.7
BS007867.1	B.1.1.7
BS007868.1	B.1.1.7
BS007869.1	B.1.1.7
BS007870.1	B.1.1.7
BS007872.1	B.1.1.7
BS007874.1	B.1.1.7
BS007876.1	B.1.1.7
BS007877.1	B.1.1.7
BS007879.1	B.1.1.7
BS007880.1	B.1.1.7
BS007884.1	B.1.1.7
BS007887.1	B.1.1.7
BS007890.1	B.1.1.7
BS007891.1	B.1.1.7
BS007892.1	B.1.1.7
BS007893.1	B.1.1.7
BS007901.1	B.1.617.2
BS007905.1	B.1.1.7
BS007907.1	B.1.1.7
BS007908.1	B.1.1.7
BS007910.1	B.1.1.7
BS007912.1	B.1.1.7
BS007913.1	B.1.1.7
BS007915.1	B.1.1.7
BS007918.1	B.1.1.7
BS007919.1	B.1.1.7
BS007921.1	B.1.1.7
BS007923.1	B.1.1.7
BS007925.1	B.1.1.7
BS007926.1	B.1.1.7
BS007928.1	B.1.1.7
BS007929.1	B.1.1.7
BS007930.1	B.1.1.7
BS007934.1	B.1.1.7
BS007936.1	B.1.1.7
BS007938.1	B.1.1.7
BS007941.1	B.1.1.7
BS007943.1	B.1.1.7
BS007945.1	B.1.1.7
BS007948.1	B.1.1.7
BS007967.1	B.1.1.7
BS007971.1	B.1.1.7
BS007980.1	B.1.1.7
BS007982.1	B.1.1.7
BS008105.1	B.1.617.2
BS009089.1	BA.5
BS009312.1	BA.4
BS009711.1	BA.5
BS010377.1	BA.5
BS010486.1	BQ.1
BS010585.1	JN.1
BS010604.1	JN.1
BS010606.1	JN.1
BS010611.1	JN.1
BS010612.1	JN.1
BS010614.1	JN.1
BS010619.1	JN.1
BS010620.1	JN.1
BS010622.1	JN.1
BS010624.1	JN.1
BS010627.1	JN.1
BS010933.1	BA.1
BS013726.1	BA.5
BS016085.1	B.1.1.7
BS016086.1	B.1.1.7
BS016095.1	B.1.1.7
BS016099.1	B.1.1.7
BS016100.1	B.1.1.7
BS016102.1	B.1.1.7
BS016104.1	B.1.1.7
BS016106.1	B.1.1.7
BS016109.1	B.1.1.7
BS016110.1	B.1.1.7
BS016111.1	B.1.1.7
BS016112.1	B.1.1.7
BS016116.1	B.1.1.7
BS016118.1	B.1.1.7
BS016119.1	B.1.1.7
BS016120.1	B.1.1.7
BS016121.1	B.1.1.7
BS016122.1	B.1.1.7
BS016125.1	B.1.1.7
BS016126.1	B.1.1.7
BS016129.1	B.1.1.7
BS016131.1	B.1.1.7
BS016132.1	B.1.1.7
BS016135.1	B.1.1.7
BS016136.1	B.1.1.7
BS016140.1	B.1.1.7
BS016141.1	B.1.1.7
BS016145.1	B.1.1.7
BS016146.1	B.1.1.7
BS016149.1	B.1.1.7
BS016152.1	B.1.1.7
BS016155.1	B.1.1.7
BS016157.1	B.1.1.7
BS016160.1	B.1.1.7
BS016161.1	B.1.1.7
BS016165.1	B.1.1.7
BS016168.1	B.1.1.7
BS016173.1	B.1.1.7
BS016175.1	B.1.1.7
BS016177.1	B.1.1.7
BS016178.1	B.1.1.7
BS016180.1	B.1.1.7
BS016181.1	B.1.1.7
BS016182.1	B.1.1.7
BS016184.1	B.1.1.7
BS016186.1	B.1.1.7
BS016188.1	B.1.1.7
BS016189.1	B.1.1.7
BS016191.1	B.1.1.7
BS016192.1	B.1.1.7
BS016194.1	B.1.1.7
BS016195.1	B.1.1.7
BS016198.1	B.1.1.7
BS016199.1	B.1.1.7
BS016201.1	B.1.1.7
BS016206.1	B.1.1.7
BS016304.1	KP.3.1.1
BS016338.1	KP.3.1.1
BS016368.1	KP.3.1.1
BS016376.1	KP.3.1.1
BS016385.1	KP.3.1.1
BS016398.1	XEC
BS016399.1	XEC
BS016403.1	XEC
BS016404.1	KP.3.1.1
BS016406.1	XEC
BS016409.1	XEC
BS016422.1	XEC
BS016431.1	XEC
BS016440.1	XEC
BS016443.1	XEC
BS016447.1	KP.3.1.1
BS016449.1	XEC
BS016451.1	KP.3.1.1
BS016452.1	XEC
BS016453.1	XEC
BS016454.1	XEC
BS016455.1	XEC
BS016456.1	XEC
BS016457.1	XEC
BS016458.1	XEC
BS016459.1	XEC
BS016460.1	XEC
BS016461.1	XEC
BS016462.1	XEC
BS016466.1	XEC
BS016468.1	XEC
BS016470.1	XEC
BS016471.1	XEC
LC606022.1	B.1.1.7
LC632055.1	B.1.1.7
LC632056.1	B.1.1.7
LC632057.1	B.1.1.7
LC633760.1	B.1.617.2
LC633761.1	B.1.617.1
LC633762.1	B.1.1.7
LC633763.1	B.1.1.7
LC636489.1	B.1.1.7
LC636490.1	B.1.1.7
LC636491.1	B.1.1.7
LC636492.1	B.1.1.7
LC636493.1	B.1.1.7
LC638681.1	B.1.1.7
LC638682.1	B.1.1.7
LC638683.1	B.1.1.7
LC638684.1	B.1.1.7
LC638685.1	B.1.1.7
LC643032.1	B.1.1.7
LC643033.1	B.1.1.7
LC643034.1	B.1.1.7
LC643035.1	B.1.1.7
LC643036.1	B.1.617.2
LC643037.1	B.1.1.7
LC643038.1	B.1.1.7
LC643039.1	B.1.1.7
LC643040.1	B.1.1.7
LC643041.1	B.1.1.7
LC643042.1	B.1.1.7
LC643043.1	B.1.1.7
LC643044.1	B.1.617.2
LC643046.1	B.1.1.7
LC643048.1	B.1.617.2
LC643049.1	B.1.617.2
LC643050.1	B.1.617.2
LC646473.1	B.1.617.2
LC650036.1	B.1.1.7
LC650037.1	B.1.1.7
LC650039.1	B.1.1.7
LC650040.1	B.1.1.7
LC650044.1	B.1.1.7
LC650051.1	B.1.1.7
LC650844.1	B.1.1.7
LC650845.1	B.1.1.7
LC650846.1	B.1.1.7
LC650847.1	B.1.1.7
LC650848.1	B.1.1.7
LC650849.1	B.1.1.7
LC650850.1	B.1.1.7
LC650851.1	B.1.1.7
LC650852.1	B.1.1.7
LC650853.1	B.1.1.7
LC650854.1	B.1.1.7
LC650855.1	B.1.1.7
LC650856.1	B.1.1.7
LC650857.1	B.1.1.7
LC650858.1	B.1.1.7
LC650859.1	B.1.1.7
LC650860.1	B.1.1.7
LC650861.1	B.1.1.7
LC650862.1	B.1.1.7
LC650863.1	B.1.1.7
LC650864.1	B.1.1.7
LC650865.1	B.1.1.7
LC654481.1	B.1.1.7
LC654482.1	B.1.1.7
LC666804.1	B.1.1.7
LC666805.1	B.1.1.7
LC666808.1	B.1.1.7
LC666809.1	B.1.1.7
LC666926.1	B.1.1.7
LC666929.1	B.1.1.7
LC666933.1	B.1.1.7
LC666942.1	B.1.617.2
LC666943.1	B.1.617.2
LC726742.1	BA.4
LC726743.1	BA.4
LC740218.1	BA.2
LC740221.1	BA.2
LC882664.1	XEC
LC882666.1	KP.3.1.1
LC882676.1	XEC
LC882683.1	XEC
LC882689.1	XEC
LC888523.1	XEC
MW306426.1	B.1.427_B.1.429
MW411923.1	B.1.427_B.1.429
MW411934.1	B.1.427_B.1.429
MW420347.1	B.1.427_B.1.429
MW422255.1	B.1.1.7
MW422256.1	B.1.1.7
MW423686.2	B.1.1.7
MW424868.1	B.1.427_B.1.429
MW424877.1	B.1.427_B.1.429
MW424878.1	B.1.427_B.1.429
MW430966.1	B.1.1.7
MW430974.1	B.1.1.7
MW433746.1	B.1.427_B.1.429
MW433772.1	B.1.427_B.1.429
MW440433.1	B.1.1.7
MW447771.1	B.1.1.7
MW449383.1	B.1.427_B.1.429
MW450666.1	B.1.1.7
MW451205.1	B.1.1.7
MW453103.1	B.1.427_B.1.429
MW453112.1	B.1.427_B.1.429
MW453123.1	B.1.427_B.1.429
MW454406.1	B.1.427_B.1.429
MW454434.1	B.1.427_B.1.429
MW454436.1	B.1.427_B.1.429
MW454452.1	B.1.427_B.1.429
MW454456.1	B.1.427_B.1.429
MW460632.1	B.1.427_B.1.429
MW462650.1	B.1.1.7
MW462651.1	B.1.1.7
MW462652.1	B.1.1.7
MW463056.1	B.1.1.7
MW474742.1	B.1.1.7
MW480894.1	B.1.1.7
MW483429.1	B.1.427_B.1.429
MW483438.1	B.1.427_B.1.429
MW483573.1	B.1.427_B.1.429
MW483574.1	B.1.427_B.1.429
MW483575.1	B.1.427_B.1.429
MW483576.1	B.1.427_B.1.429
MW483578.1	B.1.427_B.1.429
MW483579.1	B.1.427_B.1.429
MW483832.1	B.1.427_B.1.429
MW485088.1	B.1.1.7
MW485140.1	B.1.427_B.1.429
MW485261.1	B.1.427_B.1.429
MW485266.1	B.1.427_B.1.429
MW485277.1	B.1.427_B.1.429
MW485292.1	B.1.1.7
MW485323.1	B.1.1.7
MW485372.1	B.1.1.7
MW485379.1	B.1.1.7
MW485386.1	B.1.1.7
MW485399.1	B.1.1.7
MW485829.1	B.1.427_B.1.429
MW485882.1	B.1.427_B.1.429
MW485884.1	B.1.427_B.1.429
MW487270.1	B.1.1.7
MW490632.1	B.1.1.7
MW490633.1	B.1.1.7
MW491232.2	B.1.1.7
MW493676.1	B.1.1.7
MW493681.1	B.1.427_B.1.429
MW493988.2	B.1.427_B.1.429
MW494127.1	B.1.1.7
MW494325.1	B.1.1.7
MW494353.1	B.1.427_B.1.429
MW494381.1	B.1.427_B.1.429
MW494399.1	B.1.1.7
MW494424.1	B.1.1.7
MW495887.1	B.1.427_B.1.429
MW505143.1	B.1.427_B.1.429
MW505147.1	B.1.427_B.1.429
MW505149.1	B.1.427_B.1.429
MW505165.1	B.1.427_B.1.429
MW505187.1	B.1.427_B.1.429
MW505189.1	B.1.427_B.1.429
MW505459.1	B.1.427_B.1.429
MW505817.1	B.1.427_B.1.429
MW513631.1	B.1.427_B.1.429
MW513640.1	B.1.427_B.1.429
MW513641.1	B.1.427_B.1.429
MW513698.1	B.1.1.7
MW517341.1	B.1.427_B.1.429
MW517767.1	B.1.427_B.1.429
MW517768.1	B.1.427_B.1.429
MW518052.1	B.1.1.7
MW518121.1	B.1.427_B.1.429
MW518123.1	B.1.1.7
MW518126.1	B.1.1.7
MW518218.1	B.1.1.7
MW518221.1	B.1.1.7
MW518231.1	B.1.1.7
MW518234.1	B.1.1.7
MW518236.1	B.1.1.7
MW518820.1	B.1.427_B.1.429
MW518822.1	B.1.427_B.1.429
MW518823.1	B.1.427_B.1.429
MW518825.1	B.1.427_B.1.429
MW518828.1	B.1.427_B.1.429
MW518831.1	B.1.1.7
MW519625.1	B.1.1.7
MW519628.1	B.1.1.7
MW519631.1	B.1.427_B.1.429
MW519633.1	B.1.427_B.1.429
MW519652.1	B.1.427_B.1.429
MW519708.1	B.1.427_B.1.429
MW519714.1	B.1.1.7
MW519715.1	B.1.427_B.1.429
MW519722.1	B.1.1.7
MW519725.1	B.1.427_B.1.429
MW519728.1	B.1.1.7
MW519738.1	B.1.427_B.1.429
MW519739.1	B.1.427_B.1.429
MW519751.1	B.1.427_B.1.429
MW519755.1	B.1.427_B.1.429
MW519791.1	B.1.427_B.1.429
MW520923.1	P.1
MW520939.1	B.1.1.7
MW523792.1	B.1.427_B.1.429
MW523795.1	B.1.427_B.1.429
MW523867.1	B.1.427_B.1.429
MW523873.1	B.1.427_B.1.429
MW524888.1	B.1.1.7
MW524942.1	B.1.427_B.1.429
MW524976.1	B.1.427_B.1.429
MW525027.1	B.1.1.7
MW525040.1	B.1.427_B.1.429
MW525061.1	B.1.1.7
MW525074.1	B.1.1.7
MW525111.1	B.1.427_B.1.429
MW528765.1	B.1.427_B.1.429
MW528828.1	B.1.427_B.1.429
MW531680.1	B.1.1.7
MW542148.2	B.1.427_B.1.429
MW545254.1	B.1.427_B.1.429
MW545329.1	B.1.427_B.1.429
MW545438.1	B.1.427_B.1.429
MW545439.1	B.1.427_B.1.429
MW545441.1	B.1.427_B.1.429
MW545442.1	B.1.427_B.1.429
MW545449.1	B.1.427_B.1.429
MW545456.1	B.1.427_B.1.429
MW545461.1	B.1.427_B.1.429
MW545477.1	B.1.427_B.1.429
MW545482.1	B.1.427_B.1.429
MW545484.1	B.1.427_B.1.429
MW548320.1	B.1.427_B.1.429
MW549661.1	B.1.427_B.1.429
MW549663.2	B.1.427_B.1.429
MW549733.1	B.1.427_B.1.429
MW549866.1	B.1.1.7
MW549965.1	B.1.427_B.1.429
MW550357.1	B.1.427_B.1.429
MW550387.1	B.1.427_B.1.429
MW550442.1	B.1.427_B.1.429
MW550576.1	B.1.427_B.1.429
MW550634.1	B.1.427_B.1.429
MW550713.1	B.1.427_B.1.429
MW555839.2	B.1.427_B.1.429
MW556151.1	B.1.1.7
MW556153.1	B.1.1.7
MW556158.1	B.1.1.7
MW556161.1	B.1.1.7
MW556165.1	B.1.1.7
MW556185.1	B.1.1.7
MW556189.1	B.1.1.7
MW557380.1	B.1.1.7
MW558317.1	B.1.427_B.1.429
MW559187.1	B.1.427_B.1.429
MW560781.1	B.1.1.7
MW560801.1	B.1.427_B.1.429
MW560811.1	B.1.427_B.1.429
MW560905.1	B.1.427_B.1.429
MW560906.1	B.1.427_B.1.429
MW560907.1	B.1.427_B.1.429
MW560908.1	B.1.427_B.1.429
MW560909.1	B.1.427_B.1.429
MW560912.1	B.1.427_B.1.429
MW560913.1	B.1.427_B.1.429
MW560914.1	B.1.427_B.1.429
MW560915.1	B.1.427_B.1.429
MW560916.1	B.1.427_B.1.429
MW560917.1	B.1.427_B.1.429
MW560918.1	B.1.1.7
MW560919.1	B.1.427_B.1.429
MW560921.1	B.1.427_B.1.429
MW560922.1	B.1.427_B.1.429
MW560924.1	B.1.525
MW564702.1	B.1.427_B.1.429
