accession	genotype
KP745698.1	4
KP745699.1	2
KP745700.1	3
KP745701.1	3
KP745702.1	3
KP745703.1	4
KP745704.1	1
KP745705.1	1
KP745706.1	2
KP745708.1	2
KP745709.1	1
KP745710.1	3
KP745711.1	1
KP745712.1	3
KP745713.1	3
KP745714.1	3
KP745715.1	4
KP745716.1	1
KP745717.1	3
KP745718.1	1
KP745719.1	2
KP745720.1	3
KP745721.1	2
KP745722.1	2
KP745723.1	3
KP745725.1	4
KP745726.1	1
KP745727.1	1
KP745728.1	2
KP973623.1	1
KP973624.1	1
KP973625.1	1
KP973626.1	1
KP973627.1	1
KP973628.1	1
KP973629.1	1
KP973630.1	1
KP973631.1	1
KP973632.1	1
KP973633.1	1
KP973634.1	1
KP973635.1	1
KP973636.1	1
KP973637.1	1
KP973638.1	1
KP973639.1	1
KP973640.1	1
KP973641.1	1
KP973642.1	1
KR534196.1	4
KR534197.1	1
KR534198.1	3
KR534199.1	3
KR534200.1	1
KR534201.1	3
KR534202.1	3
KR534203.1	1
KR534205.1	2
KR534206.1	1
KR534207.1	2
KR534208.1	4
KR534209.1	1
KR534210.1	4
KR534211.1	3
KR534212.1	4
KR534213.1	2
KT726940.2	1
KT726942.2	2
KT726943.2	1
KT726945.2	3
KT726946.2	4
KT726947.2	1
KT726948.2	1
KT726949.2	4
KT726950.2	1
KT726952.2	1
KT726953.2	4
KT726954.2	1
KT726955.2	1
KT959235.1	3
KU221090.1	1
KU221091.1	1
KU221092.1	1
KU221093.1	1
KU221094.1	1
KU221095.1	1
KU221096.1	1
KU221097.1	1
KU221098.1	1
KU221099.1	1
KU221100.1	1
KU550087.1	2
KU550088.1	1
KU550089.1	2
KU550090.1	1
KX101021.1	1
KX101022.1	3
KX101023.1	1
KX101024.1	1
KX544831.1	1
KX544832.1	1
KX544833.1	1
KX544834.1	1
KX544835.1	1
KX544836.1	1
KX544837.1	1
KX544838.1	1
KX544840.1	4
KX544841.1	1
KY002200.1	3
KY002201.1	3
KY123649.1	2
KY123650.1	1
KY123651.1	1
KY123652.1	1
KY123653.1	3
KY490062.1	1
KY490063.1	1
KY490064.1	2
KY490065.1	1
KY490066.1	2
KY490067.1	4
KY490068.1	1
KY490069.1	2
KY490070.1	3
KY490071.1	2
KY490072.1	2
KY490073.1	1
KY490074.1	1
KY490075.1	1
KY490076.1	3
KY490077.1	1
KY490078.1	1
KY490079.1	4
KY490080.1	3
KY490081.1	1
KY490082.1	3
KY490083.1	3
KY490084.1	1
KY490085.1	2
KY490086.1	1
KY490087.1	1
LC846338.1	3
M22343.1	1
M60924.2	4
M60926.2	4
M60929.1	1
M60931.1	2
M85228.2	3
MF084223.1	1
MF084224.1	1
MK157426.1	1
MK157428.1	1
MK157430.1	1
MK157435.1	4
MK157436.1	1
MK157437.1	4
MK157438.1	4
MK157440.1	4
MK157442.1	3
MK157443.1	3
MK157444.1	3
MK157445.1	3
MK157446.1	3
MK157447.1	1
MK157452.1	1
MK157453.1	1
MK157454.1	1
MK157455.1	1
MK157456.1	1
MK157457.1	1
MK157458.1	1
MK157460.1	1
MK157461.1	1
MK157462.1	3
MK157463.1	3
MK157467.1	1
MK290742.1	4
MK290743.1	2
MK290744.1	1
MK422176.1	2
MK425187.1	1
MT044476.1	1
MT044477.1	2
MT044478.1	1
MT044479.1	3
MT044481.1	1
MT044482.1	1
MT044483.1	2
MT044484.1	1
MT070138.1	3
MT070139.1	1
MT070141.1	3
MT070142.1	3
MT649468.1	3
MT649469.1	1
MT649470.1	3
MT649471.1	1
MT649472.1	4
MT649474.1	1
MW197154.1	3
MW197155.1	1
MW197156.1	1
MW197157.1	1
MW439038.1	1
MW439039.1	1
MW528458.1	1
MW528459.1	1
MW528460.1	3
MW528461.1	2
MW528462.1	1
MW528463.1	1
MW528464.1	4
MW980585.1	3
NC_006273.2	1
OK000909.1	1
OK000910.1	1
OK000911.1	2
OK000912.1	1
ON119191.1	1
ON119193.1	1
OQ466311.1	1
OQ466312.1	1
OQ857188.1	1
OQ857248.1	1
OQ857260.1	4
OU342900.1	3
OU342911.1	2
OU342912.1	3
OU342913.1	1
OU342914.1	3
OU342915.1	4
OU342916.1	2
OU342917.1	3
OU342918.1	2
OV100760.1	4
OV100762.1	2
OV100763.1	3
PP386308.1	2
PP412592.1	2
PP412593.1	2
PP412594.1	2
PP803491.1	3
PQ851837.1	1
PQ851838.1	1
PQ851839.1	1
PQ851840.1	1
PQ851841.1	1
PQ851842.1	1
PQ851843.1	1
PQ851844.1	1
PQ879540.1	2
PQ879541.1	2
PX246278.1	3
X17403.1	2
