dataset,gene,position,effective_fraction,effective_sequences,null_p95,null_max
SARS-CoV-2,ORF1ab,208,0.1,27875,0.015531569527619242,0.017611652918125387
SARS-CoV-2,ORF1ab,217,0.5,139369,0.007647218019199152,0.009651914670660011
SARS-CoV-2,ORF1ab,217,0.25,69684,0.010760992336840974,0.013115100392119956
SARS-CoV-2,ORF1ab,217,0.1,27875,0.016174121737541583,0.02028403430431294
SARS-CoV-2,ORF1ab,226,0.5,139369,0.007736915092320431,0.008749590658036068
SARS-CoV-2,ORF1ab,226,0.25,69684,0.010673798830176877,0.014111915738658446
SARS-CoV-2,ORF1ab,226,0.1,27875,0.016458352751728276,0.020348502376542205
SARS-CoV-2,ORF1ab,235,0.5,139368,0.007698163324702632,0.008892629273117557
SARS-CoV-2,ORF1ab,235,0.25,69684,0.010692654751828137,0.013087871212144202
SARS-CoV-2,ORF1ab,235,0.1,27875,0.016418684902047346,0.02050241538593807
SARS-CoV-2,ORF1ab,244,0.5,139370,0.008003144467183075,0.00976846336823212
SARS-CoV-2,ORF1ab,244,0.25,69685,0.01098583342483072,0.01371973933649534
SARS-CoV-2,ORF1ab,244,0.1,27875,0.017355508495857735,0.02003404396011587
SARS-CoV-2,ORF1ab,253,0.5,139370,0.007679583639860028,0.009102134956674236
SARS-CoV-2,ORF1ab,253,0.25,69685,0.011174843824711083,0.013149102821745341
SARS-CoV-2,ORF1ab,253,0.1,27875,0.01736794094126868,0.021343412959731835
SARS-CoV-2,ORF1ab,262,0.5,139368,0.00797692139385992,0.009168379838571702
SARS-CoV-2,ORF1ab,262,0.25,69684,0.0109708968401947,0.013314931668630832
SARS-CoV-2,ORF1ab,262,0.1,27875,0.016962654395813435,0.020417982550367524
SARS-CoV-2,ORF1ab,271,0.5,139368,0.0077385869456630795,0.009727476107034566
SARS-CoV-2,ORF1ab,271,0.25,69684,0.01072197882289147,0.013855341740855282
SARS-CoV-2,ORF1ab,271,0.1,27875,0.016022791866213745,0.020503019561253496
SARS-CoV-2,ORF1ab,280,0.5,139369,0.007568308625681541,0.008748639597952657
SARS-CoV-2,ORF1ab,280,0.25,69684,0.010531160335912228,0.012367151019653622
SARS-CoV-2,ORF1ab,280,0.1,27875,0.015559546863954634,0.019395119852288766
SARS-CoV-2,ORF1ab,289,0.5,139369,0.007608241588496141,0.009661164096906833
SARS-CoV-2,ORF1ab,289,0.25,69685,0.010670766338501192,0.01336181553999614
SARS-CoV-2,ORF1ab,289,0.1,27875,0.016291777323455447,0.019674586774418877
SARS-CoV-2,ORF1ab,298,0.5,139368,0.007432628744434892,0.009796986881294115
SARS-CoV-2,ORF1ab,298,0.25,69684,0.010342251017919031,0.013730531110395851
SARS-CoV-2,ORF1ab,298,0.1,27875,0.015279598572438258,0.0201189105130877
SARS-CoV-2,ORF1ab,307,0.5,139370,0.007826290159255003,0.009537206680859174
SARS-CoV-2,ORF1ab,307,0.25,69685,0.010793989665463109,0.01274031580169373
SARS-CoV-2,ORF1ab,307,0.1,27875,0.016796818960723485,0.020620148177122877
SARS-CoV-2,ORF1ab,316,0.5,139369,0.00784366132224435,0.010051772238452862
SARS-CoV-2,ORF1ab,316,0.25,69684,0.01108610440766721,0.013869428427996518
SARS-CoV-2,ORF1ab,316,0.1,27875,0.016455367526199437,0.01917032776273496
SARS-CoV-2,ORF1ab,325,0.5,139369,0.007786657697604354,0.009330128918250531
SARS-CoV-2,ORF1ab,325,0.25,69684,0.01089698098239042,0.012611914651327267
SARS-CoV-2,ORF1ab,325,0.1,27875,0.016762598148042217,0.02270491546642608
SARS-CoV-2,ORF1ab,334,0.5,139368,0.007542251827977065,0.00897360230849847
SARS-CoV-2,ORF1ab,334,0.25,69684,0.010690826420788543,0.013858222994965001
SARS-CoV-2,ORF1ab,334,0.1,27875,0.01619121490820194,0.0187114837800561
SARS-CoV-2,ORF1ab,343,0.5,139370,0.007609013494897102,0.008497323865244837
SARS-CoV-2,ORF1ab,343,0.25,69685,0.010460302731460385,0.012600118522379387
SARS-CoV-2,ORF1ab,343,0.1,27875,0.015302948052379212,0.022247117188244108
SARS-CoV-2,ORF1ab,352,0.5,139370,0.007605111751292044,0.009094043217681218
SARS-CoV-2,ORF1ab,352,0.25,69685,0.010389731807756415,0.012809127950144135
SARS-CoV-2,ORF1ab,352,0.1,27875,0.015560779889454876,0.01903783278591624
SARS-CoV-2,ORF1ab,361,0.5,139369,0.007411055091872227,0.008910720330996533
SARS-CoV-2,ORF1ab,361,0.25,69684,0.01018972841279295,0.012144395474703558
SARS-CoV-2,ORF1ab,361,0.1,27875,0.014918730552190913,0.01938351010884879
SARS-CoV-2,ORF1ab,370,0.5,139368,0.00762204506762052,0.009711427382424377
SARS-CoV-2,ORF1ab,370,0.25,69684,0.010620909662388862,0.012857844343700726
SARS-CoV-2,ORF1ab,370,0.1,27875,0.016127908688245922,0.019480725632957264
SARS-CoV-2,ORF1ab,379,0.5,139368,0.007602197286273828,0.009200033871887918
SARS-CoV-2,ORF1ab,379,0.25,69684,0.010744659081664316,0.013092126397037966
SARS-CoV-2,ORF1ab,379,0.1,27875,0.015866326772169745,0.02018279585948763
SARS-CoV-2,ORF1ab,388,0.5,139369,0.007810348754461621,0.009085757245936065
SARS-CoV-2,ORF1ab,388,0.25,69685,0.010457118499836646,0.013686274240490527
SARS-CoV-2,ORF1ab,388,0.1,27875,0.01598864415275857,0.01916724029871747
SARS-CoV-2,ORF1ab,397,0.5,139369,0.010268606387395279,0.011718066283999008
SARS-CoV-2,ORF1ab,397,0.25,69685,0.014391304718564576,0.01674760417840445
SARS-CoV-2,ORF1ab,397,0.1,27875,0.022610134432891896,0.026318710114999335
SARS-CoV-2,ORF1ab,406,0.5,139369,0.007787673846613386,0.009451113867321916
SARS-CoV-2,ORF1ab,406,0.25,69685,0.010816112170766043,0.013546845023596392
SARS-CoV-2,ORF1ab,406,0.1,27875,0.01662937057437697,0.020452953817820103
SARS-CoV-2,ORF1ab,415,0.5,139369,0.010356332733201813,0.01177159842771825
SARS-CoV-2,ORF1ab,415,0.25,69684,0.014566271239633069,0.016159906487396243
SARS-CoV-2,ORF1ab,415,0.1,27875,0.0225638675117377,0.025454754103539794
SARS-CoV-2,ORF1ab,424,0.5,139369,0.010332163902422937,0.011779213134639125
SARS-CoV-2,ORF1ab,424,0.25,69684,0.014648002179177512,0.01735211201659278
SARS-CoV-2,ORF1ab,424,0.1,27875,0.022650861717840632,0.02651234547721664
SARS-CoV-2,ORF1ab,433,0.5,139369,0.007748505120840726,0.009659928898835492
SARS-CoV-2,ORF1ab,433,0.25,69684,0.010758824653650242,0.012635901044702738
SARS-CoV-2,ORF1ab,433,0.1,27875,0.016437483879789685,0.021270483097336677
SARS-CoV-2,ORF1ab,442,0.5,139369,0.007449502942928927,0.009405592287198703
SARS-CoV-2,ORF1ab,442,0.25,69685,0.010382251061816795,0.013048486060338536
SARS-CoV-2,ORF1ab,442,0.1,27875,0.01586176971981173,0.0184208641009051
SARS-CoV-2,ORF1ab,451,0.5,139370,0.007263183287558746,0.008850309861041399
SARS-CoV-2,ORF1ab,451,0.25,69685,0.009694548523630924,0.014111952201546351
SARS-CoV-2,ORF1ab,451,0.1,27875,0.014146087416944139,0.017917296925818817
SARS-CoV-2,ORF1ab,460,0.5,139369,0.009948783450714536,0.01252847227455154
SARS-CoV-2,ORF1ab,460,0.25,69685,0.013796749975338184,0.015406623583072532
SARS-CoV-2,ORF1ab,460,0.1,27875,0.02076415882845644,0.02530982702146275
SARS-CoV-2,ORF1ab,469,0.5,139368,0.0073095296859300276,0.009157867447661736
SARS-CoV-2,ORF1ab,469,0.25,69684,0.00988153227049927,0.012131643686026816
SARS-CoV-2,ORF1ab,469,0.1,27875,0.014834745324060716,0.017480747421181657
SARS-CoV-2,ORF1ab,478,0.5,139370,0.0076654824778540544,0.009008386496531757
SARS-CoV-2,ORF1ab,478,0.25,69685,0.010770882128531629,0.013235541006436938
SARS-CoV-2,ORF1ab,478,0.1,27875,0.01651288541830624,0.01988673323978512
SARS-CoV-2,ORF1ab,487,0.5,139369,0.007279661205096322,0.009087515819691359
SARS-CoV-2,ORF1ab,487,0.25,69684,0.010433901551618257,0.012448513112412251
SARS-CoV-2,ORF1ab,487,0.1,27875,0.014858788325282321,0.018263986822032063
SARS-CoV-2,ORF1ab,496,0.5,139368,0.007472678296799641,0.008672053157065403
SARS-CoV-2,ORF1ab,496,0.25,69684,0.010332763254096104,0.01231626283158695
SARS-CoV-2,ORF1ab,496,0.1,27875,0.015411409112800162,0.01930231396036391
SARS-CoV-2,ORF1ab,505,0.5,139368,0.007639988150816221,0.009444249769765059
SARS-CoV-2,ORF1ab,505,0.25,69684,0.010389608821865055,0.01234456491487407
SARS-CoV-2,ORF1ab,505,0.1,27875,0.01621457381841637,0.019996466334849562
SARS-CoV-2,ORF1ab,514,0.5,139369,0.007444704711020245,0.008615667307448402
SARS-CoV-2,ORF1ab,514,0.25,69684,0.010147950145242368,0.012218367704637524
SARS-CoV-2,ORF1ab,514,0.1,27875,0.01494959802677022,0.018697444561128405
SARS-CoV-2,ORF1ab,523,0.5,139369,0.007732458276641282,0.00932064914920288
SARS-CoV-2,ORF1ab,523,0.25,69685,0.010426964399165663,0.01227786630881724
SARS-CoV-2,ORF1ab,523,0.1,27875,0.015472798946349318,0.018663394578003586
SARS-CoV-2,ORF1ab,532,0.5,139369,0.007480425859672021,0.009005704654222835
SARS-CoV-2,ORF1ab,532,0.25,69684,0.010585436669828825,0.013127873615639265
SARS-CoV-2,ORF1ab,532,0.1,27875,0.01602610612279753,0.019666860230752977
SARS-CoV-2,ORF1ab,541,0.5,139369,0.007671923219313471,0.010149124584781994
SARS-CoV-2,ORF1ab,541,0.25,69684,0.01083485262502928,0.01335840475745426
SARS-CoV-2,ORF1ab,541,0.1,27875,0.016381869564605724,0.02053187006228065
SARS-CoV-2,ORF1ab,550,0.5,139368,0.007804999629020776,0.009907128740605672
SARS-CoV-2,ORF1ab,550,0.25,69684,0.011020060687224833,0.013935512098323328
SARS-CoV-2,ORF1ab,550,0.1,27875,0.01709289061352167,0.02183751379964144
SARS-CoV-2,ORF1ab,559,0.5,139370,0.007748891772419396,0.01011911188068568
SARS-CoV-2,ORF1ab,559,0.25,69685,0.010876560879934535,0.013932769679283766
SARS-CoV-2,ORF1ab,559,0.1,27875,0.01683674030548959,0.020383651444333753
SARS-CoV-2,ORF1ab,568,0.5,139369,0.0076844981199922415,0.009194308615848211
SARS-CoV-2,ORF1ab,568,0.25,69684,0.010765677053288814,0.013245169122424738
SARS-CoV-2,ORF1ab,568,0.1,27875,0.0164320312172539,0.020431374915037666
SARS-CoV-2,ORF1ab,577,0.5,139370,0.0075564094808150415,0.009303819255708352
SARS-CoV-2,ORF1ab,577,0.25,69685,0.01052309285469052,0.013130372241199886
SARS-CoV-2,ORF1ab,577,0.1,27875,0.015985990784086513,0.01984813632959343
SARS-CoV-2,ORF1ab,586,0.5,139369,0.007600798520793854,0.009333988128306837
SARS-CoV-2,ORF1ab,586,0.25,69685,0.0105089286383658,0.012731425755694884
SARS-CoV-2,ORF1ab,586,0.1,27875,0.016271524746485452,0.020068345841943346
SARS-CoV-2,ORF1ab,595,0.5,139369,0.0074533797671849766,0.00912857217254099
SARS-CoV-2,ORF1ab,595,0.25,69685,0.01036522383382702,0.01314022907493648
SARS-CoV-2,ORF1ab,595,0.1,27875,0.015045223626266343,0.019240473816669563
SARS-CoV-2,ORF1ab,604,0.5,139370,0.0077003472904513546,0.009597400245455103
SARS-CoV-2,ORF1ab,604,0.25,69685,0.010397228731778037,0.012981353111598405
SARS-CoV-2,ORF1ab,604,0.1,27875,0.015775181654623424,0.01911438743280547
SARS-CoV-2,ORF1ab,613,0.5,139368,0.00787772658751098,0.009882916575805818
SARS-CoV-2,ORF1ab,613,0.25,69684,0.010934909954603292,0.0135427590353397
SARS-CoV-2,ORF1ab,613,0.1,27875,0.01731092086547777,0.02103769426032189
SARS-CoV-2,ORF1ab,622,0.5,139369,0.0075438601511037375,0.009989076495181
SARS-CoV-2,ORF1ab,622,0.25,69684,0.010512625092075956,0.012776213491710398
SARS-CoV-2,ORF1ab,622,0.1,27875,0.016380343319015465,0.018888092748244434
SARS-CoV-2,ORF1ab,631,0.5,139369,0.01037466636748489,0.011739723455309334
SARS-CoV-2,ORF1ab,631,0.25,69684,0.014885609908624706,0.017705326622721125
SARS-CoV-2,ORF1ab,631,0.1,27875,0.023005034393411613,0.026626266673070893
SARS-CoV-2,ORF1ab,640,0.5,139369,0.01022283619526405,0.012057372125632668
SARS-CoV-2,ORF1ab,640,0.25,69684,0.014495088525097077,0.017197845710264385
SARS-CoV-2,ORF1ab,640,0.1,27875,0.022552897762037092,0.025883715160850283
SARS-CoV-2,ORF1ab,649,0.5,139370,0.0076441481246083,0.00870876954247887
SARS-CoV-2,ORF1ab,649,0.25,69685,0.010633987947794181,0.013437404524259693
SARS-CoV-2,ORF1ab,649,0.1,27875,0.016511775869366304,0.02232230535531138
SARS-CoV-2,ORF1ab,658,0.5,139370,0.007657309584185429,0.008987451056402085
SARS-CoV-2,ORF1ab,658,0.25,69685,0.010333978497847583,0.012372061046135654
SARS-CoV-2,ORF1ab,658,0.1,27875,0.016042083878055204,0.021500311797509743
SARS-CoV-2,ORF1ab,667,0.5,139370,0.007772686424200317,0.009566117979298447
SARS-CoV-2,ORF1ab,667,0.25,69685,0.01075178254591264,0.014534392427699282
SARS-CoV-2,ORF1ab,667,0.1,27875,0.016487264632728652,0.01975257010021495
SARS-CoV-2,ORF1ab,676,0.5,139368,0.0077079545670795556,0.009223181504141751
SARS-CoV-2,ORF1ab,676,0.25,69684,0.010559204862028512,0.01259837664888027
SARS-CoV-2,ORF1ab,676,0.1,27875,0.01612348418593397,0.01949106831639935
SARS-CoV-2,ORF1ab,685,0.5,139368,0.007691007477050722,0.00901521155288676
SARS-CoV-2,ORF1ab,685,0.25,69684,0.010678145866168125,0.012341028853982137
SARS-CoV-2,ORF1ab,685,0.1,27875,0.015893008421245792,0.019155436198791086
SARS-CoV-2,ORF1ab,694,0.5,139368,0.0076094252614879515,0.009727089504572817
SARS-CoV-2,ORF1ab,694,0.25,69684,0.010555509830381239,0.012394119782402123
SARS-CoV-2,ORF1ab,694,0.1,27875,0.015634621190062557,0.019293610766884812
SARS-CoV-2,ORF1ab,703,0.5,139368,0.007415969965857753,0.009499857954581931
SARS-CoV-2,ORF1ab,703,0.25,69684,0.010343248708429318,0.012852615245215327
SARS-CoV-2,ORF1ab,703,0.1,27875,0.015296799976875677,0.01790056504003799
SARS-CoV-2,ORF1ab,712,0.5,139369,0.0073165225537296565,0.009222425355347917
SARS-CoV-2,ORF1ab,712,0.25,69684,0.010059138143895297,0.012486181996032351
SARS-CoV-2,ORF1ab,712,0.1,27875,0.014867452928970522,0.019405181705374985
SARS-CoV-2,ORF1ab,721,0.5,139369,0.007475682037527841,0.010564867363789875
SARS-CoV-2,ORF1ab,721,0.25,69684,0.010041479465577133,0.011989011282498345
SARS-CoV-2,ORF1ab,721,0.1,27875,0.014721676340291015,0.017708856694193198
SARS-CoV-2,ORF1ab,730,0.5,139370,0.007349329048780935,0.008899443363711096
SARS-CoV-2,ORF1ab,730,0.25,69685,0.010029760638050323,0.011672786508462261
SARS-CoV-2,ORF1ab,730,0.1,27875,0.01469373523091136,0.018077365858625336
SARS-CoV-2,ORF1ab,739,0.5,139370,0.007611555304176697,0.008853369475610356
SARS-CoV-2,ORF1ab,739,0.25,69685,0.010145028128719228,0.012174664258603326
SARS-CoV-2,ORF1ab,739,0.1,27875,0.01473384242954652,0.019108669173413726
SARS-CoV-2,ORF1ab,748,0.5,139368,0.00725804415573394,0.008507616414900146
SARS-CoV-2,ORF1ab,748,0.25,69684,0.009967124770462434,0.01223206438166871
SARS-CoV-2,ORF1ab,748,0.1,27875,0.014464828013337708,0.01896943300237485
SARS-CoV-2,ORF1ab,757,0.5,139369,0.00709803967946629,0.008920368146944264
SARS-CoV-2,ORF1ab,757,0.25,69685,0.009390842422443224,0.012002033426754535
SARS-CoV-2,ORF1ab,757,0.1,27875,0.013540926830882405,0.016305760343871677
SARS-CoV-2,ORF1ab,766,0.5,139369,0.007497605994909021,0.009294541042274217
SARS-CoV-2,ORF1ab,766,0.25,69685,0.010342752259626213,0.013144953287463915
SARS-CoV-2,ORF1ab,766,0.1,27875,0.015126397942022817,0.018791253623971705
SARS-CoV-2,ORF1ab,775,0.5,139368,0.0074533782059636264,0.00940451696526967
SARS-CoV-2,ORF1ab,775,0.25,69684,0.010060668526356563,0.012675381278052065
SARS-CoV-2,ORF1ab,775,0.1,27875,0.014758368229281052,0.01805814986452123
SARS-CoV-2,ORF1ab,784,0.5,139368,0.007309114355828487,0.008457131571104821
SARS-CoV-2,ORF1ab,784,0.25,69684,0.009706063999509375,0.012362356522229306
SARS-CoV-2,ORF1ab,784,0.1,27875,0.014012026984331395,0.01717899745656911
SARS-CoV-2,ORF1ab,793,0.5,139368,0.01033919911634497,0.012298439649260138
SARS-CoV-2,ORF1ab,793,0.25,69684,0.01461290019948769,0.01691078906662982
SARS-CoV-2,ORF1ab,793,0.1,27875,0.02304883759122197,0.02553029619394931
SARS-CoV-2,ORF1ab,802,0.5,139368,0.007499117321131669,0.008595123048773728
SARS-CoV-2,ORF1ab,802,0.25,69684,0.010367120475832919,0.0120997116364538
SARS-CoV-2,ORF1ab,802,0.1,27875,0.015393466234792907,0.018343381502680372
SARS-CoV-2,ORF1ab,811,0.5,139370,0.007585980592209971,0.00901071030731029
SARS-CoV-2,ORF1ab,811,0.25,69685,0.01037751248274991,0.01439718963125433
SARS-CoV-2,ORF1ab,811,0.1,27875,0.015613341441542975,0.02047989936471909
SARS-CoV-2,ORF1ab,820,0.5,139370,0.007759762227589424,0.009256555791326193
SARS-CoV-2,ORF1ab,820,0.25,69685,0.010621639069253525,0.012983489980182217
SARS-CoV-2,ORF1ab,820,0.1,27875,0.016461707573166957,0.020227489092307368
SARS-CoV-2,ORF1ab,829,0.5,139368,0.007532767545725385,0.009941621585928534
SARS-CoV-2,ORF1ab,829,0.25,69684,0.010733464985812154,0.013166144674915248
SARS-CoV-2,ORF1ab,829,0.1,27875,0.016656435777009235,0.01987949476524717
SARS-CoV-2,ORF1ab,838,0.5,139368,0.007674839055953647,0.009434256976440597
SARS-CoV-2,ORF1ab,838,0.25,69684,0.010847625643389694,0.013962822505941877
SARS-CoV-2,ORF1ab,838,0.1,27875,0.016466690702866126,0.01909337199434146
SARS-CoV-2,ORF1ab,847,0.5,139368,0.007389077664499256,0.00927702414244235
SARS-CoV-2,ORF1ab,847,0.25,69684,0.009954185845232522,0.012327568578674071
SARS-CoV-2,ORF1ab,847,0.1,27875,0.014355935470946752,0.019623278698763374
SARS-CoV-2,ORF1ab,856,0.5,139368,0.007549875899313178,0.009460210005545158
SARS-CoV-2,ORF1ab,856,0.25,69684,0.010371270606179924,0.013768082065782292
SARS-CoV-2,ORF1ab,856,0.1,27875,0.015656210719104235,0.018855640170377025
SARS-CoV-2,ORF1ab,865,0.5,139369,0.007646801964770433,0.009736673005106573
SARS-CoV-2,ORF1ab,865,0.25,69685,0.010436962938941143,0.013389018063924054
SARS-CoV-2,ORF1ab,865,0.1,27875,0.0158769213929573,0.01870114200510964
SARS-CoV-2,ORF1ab,874,0.5,139368,0.007600562670132776,0.009381401436674718
SARS-CoV-2,ORF1ab,874,0.25,69684,0.010466074507268852,0.012462975854072522
SARS-CoV-2,ORF1ab,874,0.1,27875,0.015711282909861613,0.022163580204367095
SARS-CoV-2,ORF1ab,883,0.5,139368,0.007577655021795267,0.009273341277017044
SARS-CoV-2,ORF1ab,883,0.25,69684,0.010729028278392817,0.013501414725905552
SARS-CoV-2,ORF1ab,883,0.1,27875,0.01601156527798943,0.019342911925775
SARS-CoV-2,ORF1ab,892,0.5,139369,0.007203631254932391,0.009396998128277349
SARS-CoV-2,ORF1ab,892,0.25,69685,0.009938766867482546,0.011768979085782698
SARS-CoV-2,ORF1ab,892,0.1,27875,0.014150585478147465,0.017684554255868668
SARS-CoV-2,ORF1ab,901,0.5,139369,0.007719270985927515,0.009382143153830952
SARS-CoV-2,ORF1ab,901,0.25,69685,0.010588705285392446,0.012919998568038146
SARS-CoV-2,ORF1ab,901,0.1,27875,0.01616105507926695,0.018599908643777033
SARS-CoV-2,ORF1ab,910,0.5,139369,0.007690336797759962,0.010183378803050981
SARS-CoV-2,ORF1ab,910,0.25,69685,0.010812877129902055,0.01289762324366388
SARS-CoV-2,ORF1ab,910,0.1,27875,0.01644591065198617,0.02110685889026838
SARS-CoV-2,ORF1ab,919,0.5,139370,0.010401579462826235,0.011721890090227803
SARS-CoV-2,ORF1ab,919,0.25,69685,0.0146973941681686,0.018920273571761008
SARS-CoV-2,ORF1ab,919,0.1,27875,0.023282389653050798,0.027178626961558865
SARS-CoV-2,ORF1ab,928,0.5,139369,0.007604822276409344,0.008771677341158853
SARS-CoV-2,ORF1ab,928,0.25,69685,0.010512575015615248,0.012371361835175926
SARS-CoV-2,ORF1ab,928,0.1,27875,0.015571627341083943,0.019655893147266536
SARS-CoV-2,ORF1ab,937,0.5,139368,0.007486482698747327,0.009013993892469737
SARS-CoV-2,ORF1ab,937,0.25,69684,0.010364376014335305,0.012564077236412141
SARS-CoV-2,ORF1ab,937,0.1,27875,0.015171816686358933,0.01895704148876416
SARS-CoV-2,ORF1ab,946,0.5,139370,0.007776017693656213,0.009698038649538719
